Date,Portfolio
2024-08-01,10000.0
2024-08-02,9845.22
2024-08-05,9456.469
2024-08-06,9548.101
2024-08-07,9503.038
2024-08-08,9754.810000000001
2024-08-09,9828.747000000001
2024-08-12,9910.68
2024-08-13,10095.664
2024-08-14,10130.847
2024-08-15,10284.300000000001
2024-08-16,10359.823
2024-08-19,10520.499
2024-08-20,10405.280999999999
2024-08-21,10399.922999999999
2024-08-22,10305.479
2024-08-23,10495.831
2024-08-26,10502.651000000002
2024-08-27,10516.400000000001
2024-08-28,10421.89
2024-08-29,10329.124
2024-08-30,10395.942
2024-09-03,9969.349999999999
2024-09-04,9876.048999999999
2024-09-05,9885.862
2024-09-06,9657.452
2024-09-09,9779.872
2024-09-10,9627.421
2024-09-11,9834.092999999999
2024-09-12,9935.468
2024-09-13,9941.816
2024-09-16,9910.794
2024-09-17,9946.999
2024-09-18,9938.611
2024-09-19,10177.106
2024-09-20,10146.254
2024-09-23,10156.316
2024-09-24,10251.718
2024-09-25,10230.582
2024-09-26,10222.684000000001
2024-09-27,10252.751
