Date,Portfolio
2024-08-01,10000.0
2024-08-02,9748.087
2024-08-05,9409.746000000001
2024-08-06,9346.137
2024-08-07,9388.778
2024-08-08,9589.033
2024-08-09,9663.134000000002
2024-08-12,9545.586
2024-08-13,9626.368
2024-08-14,9532.216
2024-08-15,9733.153
2024-08-16,9782.114000000001
2024-08-19,9916.732
2024-08-20,9882.786
2024-08-21,9948.559000000001
2024-08-22,9904.364
2024-08-23,10069.319
2024-08-26,10095.944
2024-08-27,10076.855
2024-08-28,10010.571
2024-08-29,10143.028999999999
2024-08-30,10147.197
2024-09-03,9797.24
2024-09-04,9750.244
2024-09-05,9695.592
2024-09-06,9425.037
2024-09-09,9513.211000000001
2024-09-10,9335.417
2024-09-11,9610.006
2024-09-12,9653.182999999999
2024-09-13,9646.139000000001
2024-09-16,9698.795999999998
2024-09-17,9766.930999999999
2024-09-18,9729.548
2024-09-19,9944.714
2024-09-20,9876.947
2024-09-23,9940.039999999999
2024-09-24,9988.749
2024-09-25,9835.59
2024-09-26,10003.227
2024-09-27,10100.622
