Date,Portfolio
2024-08-01,4000.0
2024-08-02,3899.234
2024-08-05,3763.899
2024-08-06,3738.455
2024-08-07,3755.51
2024-08-08,3835.613
2024-08-09,3865.2539999999995
2024-08-12,3818.235
2024-08-13,3850.548
2024-08-14,3812.886
2024-08-15,3893.2610000000004
2024-08-16,3912.8450000000003
2024-08-19,3966.693
2024-08-20,3953.1139999999996
2024-08-21,3979.423
2024-08-22,3961.7450000000003
2024-08-23,4027.727
2024-08-26,4038.379
2024-08-27,4030.743
2024-08-28,4004.2290000000003
2024-08-29,4057.212
2024-08-30,4058.88
2024-09-03,3918.8970000000004
2024-09-04,3900.0969999999998
2024-09-05,3878.236
2024-09-06,3770.014
2024-09-09,3805.284
2024-09-10,3734.166
2024-09-11,3844.003
2024-09-12,3861.2729999999997
2024-09-13,3858.455
2024-09-16,3879.5179999999996
2024-09-17,3906.772
2024-09-18,3891.8189999999995
2024-09-19,3977.8849999999998
2024-09-20,3950.7789999999995
2024-09-23,3976.016
2024-09-24,3995.5000000000005
2024-09-25,3934.236
2024-09-26,4001.2909999999997
2024-09-27,4040.249
