Date,Portfolio
2024-08-01,3000.0
2024-08-02,2931.8230000000003
2024-08-05,2809.3019999999997
2024-08-06,2800.726
2024-08-07,2782.271
2024-08-08,2865.3229999999994
2024-08-09,2880.567
2024-08-12,2866.858
2024-08-13,2923.8529999999996
2024-08-14,2900.979
2024-08-15,2982.622
2024-08-16,3000.61
2024-08-19,3067.6800000000003
2024-08-20,3043.974
2024-08-21,3070.475
2024-08-22,3027.959
2024-08-23,3103.153
2024-08-26,3093.059
2024-08-27,3094.6710000000003
2024-08-28,3058.665
2024-08-29,3050.0780000000004
2024-08-30,3056.048
2024-09-03,2902.615
2024-09-04,2882.102
2024-09-05,2873.8259999999996
2024-09-06,2780.855
2024-09-09,2817.831
2024-09-10,2798.342
2024-09-11,2923.7549999999997
2024-09-12,2950.302
2024-09-13,2953.089
2024-09-16,2952.7290000000003
2024-09-17,2963.3
2024-09-18,2940.927
2024-09-19,3018.193
2024-09-20,2986.7300000000005
2024-09-23,3007.517
2024-09-24,3046.516
2024-09-25,3018.791
2024-09-26,3072.0910000000003
2024-09-27,3085.06
