Date,Open,High,Low,Close,Adj Close,Volume
2024-08-01,212.75,216.77999877929688,211.0,214.55999755859375,214.04824829101562,1513700
2024-08-02,210.0,225.67999267578125,204.6300048828125,223.63999938964844,223.10658264160156,2659800
2024-08-05,213.1699981689453,220.1999969482422,209.0,215.67999267578125,215.1655731201172,1547500
2024-08-06,216.27999877929688,221.77000427246094,215.33999633789062,218.8300018310547,218.3080596923828,1079700
2024-08-07,219.8699951171875,219.8699951171875,209.0800018310547,210.94000244140625,210.43687438964844,1291400
2024-08-08,212.16000366210938,214.88999938964844,209.66000366210938,214.19000244140625,213.6791229248047,946800
2024-08-09,215.82000732421875,217.08999633789062,212.97000122070312,216.58999633789062,216.07339477539062,543000
2024-08-12,216.60000610351562,218.14999389648438,214.55999755859375,214.64999389648438,214.13803100585938,547600
2024-08-13,216.55999755859375,223.67999267578125,216.55999755859375,220.27000427246094,219.74462890625,1079300
2024-08-14,222.25,223.08999633789062,220.0,222.2100067138672,221.6800079345703,970200
2024-08-15,223.42999267578125,228.02000427246094,221.66000366210938,227.22000122070312,227.22000122070312,897000
2024-08-16,226.77000427246094,227.9199981689453,224.77999877929688,227.75,227.75,627200
2024-08-19,227.47999572753906,231.5,226.52999877929688,231.3000030517578,231.3000030517578,786700
2024-08-20,231.0,231.2899932861328,222.36000061035156,223.14999389648438,223.14999389648438,908000
2024-08-21,224.0800018310547,226.66000366210938,222.67999267578125,224.3000030517578,224.3000030517578,793000
2024-08-22,225.60000610351562,225.60000610351562,221.97999572753906,223.41000366210938,223.41000366210938,599500
2024-08-23,224.35000610351562,226.74000549316406,222.9499969482422,226.63999938964844,226.63999938964844,643700
2024-08-26,224.75,228.2899932861328,224.75,225.86000061035156,225.86000061035156,454100
2024-08-27,226.13999938964844,242.60000610351562,226.13999938964844,242.25,242.25,1895900
2024-08-28,240.5399932861328,246.8000030517578,239.3699951171875,242.69000244140625,242.69000244140625,1226600
2024-08-29,244.75999450683594,245.0,240.9499969482422,243.16000366210938,243.16000366210938,591200
2024-08-30,244.25,246.22000122070312,242.47999572753906,245.02000427246094,245.02000427246094,1084200
2024-09-03,244.47000122070312,247.72999572753906,243.77000427246094,244.89999389648438,244.89999389648438,997800
2024-09-04,239.89999389648438,246.5399932861328,236.47999572753906,244.75,244.75,980100
2024-09-05,244.9600067138672,246.0500030517578,242.1999969482422,244.77999877929688,244.77999877929688,769500
2024-09-06,245.49000549316406,247.3800048828125,240.9499969482422,244.8699951171875,244.8699951171875,579000
2024-09-09,246.4199981689453,255.17999267578125,245.0,249.55999755859375,249.55999755859375,1352800
2024-09-10,247.63999938964844,253.22999572753906,246.94000244140625,252.86000061035156,252.86000061035156,801400
2024-09-11,251.3000030517578,253.05999755859375,245.22999572753906,252.9199981689453,252.9199981689453,649900
2024-09-12,252.49000549316406,252.55999755859375,249.05999755859375,250.7100067138672,250.7100067138672,790400
2024-09-13,249.83999633789062,252.64999389648438,248.4199981689453,248.92999267578125,248.92999267578125,1343200
2024-09-16,249.75999450683594,252.91000366210938,248.75999450683594,251.77000427246094,251.77000427246094,1096400
2024-09-17,252.3699951171875,254.25999450683594,249.97000122070312,250.8800048828125,250.8800048828125,1035900
2024-09-18,233.6300048828125,242.02999877929688,231.47999572753906,238.02999877929688,238.02999877929688,1887100
2024-09-19,240.82000732421875,243.47999572753906,236.97000122070312,242.97999572753906,242.97999572753906,1128000
2024-09-20,243.19000244140625,245.72999572753906,240.4600067138672,244.94000244140625,244.94000244140625,1567000
2024-09-23,245.0,247.36000061035156,243.10000610351562,246.17999267578125,246.17999267578125,916000
2024-09-24,249.1999969482422,249.30999755859375,245.05999755859375,247.14999389648438,247.14999389648438,744700
2024-09-25,246.3800048828125,246.3800048828125,240.24000549316406,240.75,240.75,925400
2024-09-26,245.8300018310547,246.5500030517578,240.69000244140625,242.55999755859375,242.55999755859375,979900
2024-09-27,243.35000610351562,246.0,238.74000549316406,239.0,239.0,1131100
